"","PassengerId","Survived","Pclass","Sex","Age","Fare"
"1",1,0,3,"male",22,7.25
"2",2,1,1,"female",38,71.2833
"4",4,1,1,"female",35,53.1
"5",5,0,3,"male",35,8.05
"7",7,0,1,"male",54,51.8625
"9",9,1,3,"female",27,11.1333
"11",11,1,3,"female",4,16.7
"12",12,1,1,"female",58,26.55
"15",15,0,3,"female",14,7.8542
"16",16,1,2,"female",55,16
"17",17,0,3,"male",2,29.125
"19",19,0,3,"female",31,18
"22",22,1,2,"male",34,13
"24",24,1,1,"male",28,35.5
"25",25,0,3,"female",8,21.075
"26",26,1,3,"female",38,31.3875
"28",28,0,1,"male",19,263
"34",34,0,2,"male",66,10.5
"35",35,0,1,"male",28,82.1708
"36",36,0,1,"male",42,52
"39",39,0,3,"female",18,18
"41",41,0,3,"female",40,9.475
"42",42,0,2,"female",27,21
"50",50,0,3,"female",18,17.8
"52",52,0,3,"male",21,7.8
"54",54,1,2,"female",29,26
"55",55,0,1,"male",65,61.9792
"58",58,0,3,"male",28.5,7.2292
"59",59,1,2,"female",5,27.75
"60",60,0,3,"male",11,46.9
"61",61,0,3,"male",22,7.2292
"62",62,1,1,"female",38,80
"63",63,0,1,"male",45,83.475
"64",64,0,3,"male",4,27.9
"67",67,1,2,"female",29,10.5
"68",68,0,3,"male",19,8.1583
"69",69,1,3,"female",17,7.925
"70",70,0,3,"male",26,8.6625
"73",73,0,2,"male",21,73.5
"79",79,1,2,"male",0.83,29
"81",81,0,3,"male",22,9
"82",82,1,3,"male",29,9.5
"84",84,0,1,"male",28,47.1
"85",85,1,2,"female",17,10.5
"87",87,0,3,"male",16,34.375
"91",91,0,3,"male",29,8.05
"92",92,0,3,"male",20,7.8542
"95",95,0,3,"male",59,7.25
"97",97,0,1,"male",71,34.6542
"98",98,1,1,"male",23,63.3583
"100",100,0,2,"male",34,26
"101",101,0,3,"female",28,7.8958
"104",104,0,3,"male",33,8.6542
"105",105,0,3,"male",37,7.925
"106",106,0,3,"male",28,7.8958
"107",107,1,3,"female",21,7.65
"109",109,0,3,"male",38,7.8958
"113",113,0,3,"male",22,8.05
"114",114,0,3,"female",20,9.825
"116",116,0,3,"male",21,7.925
"117",117,0,3,"male",70.5,7.75
"118",118,0,2,"male",29,21
